urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
"CANON G-51,GPR-35,C-EXV33 (700Gr) (14.6K)",8.65 USD 344.34 TL,8.65,14600,100,1,18392,"CANON C-EXV33, GPR35, G51: IR2520, IR2525, IR2530"
"CANON T01C,T07C Cyan (1030Gr/39.5k)","67.54 USD 2,688.64 TL",67.54,39500,10,0,16814,"CANON T01C, T07C: imagePRESS C60, C165, C170, C265, C270, C650, C700, C710, C710CA, C750, C800, C810, C850, C910"
"CANON T01K,T07K Black (1650Gr/56k)","78.03 USD 3,106.23 TL",78.03,56000,10,0,16813,"CANON T01K, T07K: imagePRESS C60, C165, C170, C265, C270, C650, C700, C710, C710CA, C750, C800, C810, C850, C910"
"CANON T01M,T07M Magenta (1030Gr/39.5k)","67.54 USD 2,688.64 TL",67.54,39500,10,0,16815,"CANON T01M, T07M: imagePRESS C60, C165, C170, C265, C270, C650, C700, C710, C710CA, C750, C800, C810, C850, C910"
"CANON T01Y,T07Y Yellow (1030Gr/39.5k)","67.54 USD 2,688.64 TL",67.54,39500,10,0,16816,"CANON T01Y, T07Y: imagePRESS C60, C165, C170, C265, C270, C650, C700, C710, C710CA, C750, C800, C810, C850, C910"
CANON T02C Cyan (1606Gr/43k),"95.90 USD 3,817.60 TL",95.90,43000,5,0,16822,"CANON T02C: imagePRESS C10000VP, C10010VP, C8000VP, C9010VP"
CANON T02K Black (1606Gr/44k),"76.39 USD 3,040.94 TL",76.39,44000,5,0,16821,"CANON T02K: imagePRESS C10000VP, C10010VP, C8000VP, C9010VP"
CANON T02M Magenta (1606Gr/43k),"95.90 USD 3,817.60 TL",95.90,43000,5,0,16823,"CANON T02M: imagePRESS C10000VP, C10010VP, C8000VP, C9010VP"
CANON T02Y Yellow (1606Gr/43k),"95.90 USD 3,817.60 TL",95.90,43000,5,0,16824,"CANON T02Y: imagePRESS C10000VP, C10010VP, C8000VP, C9010VP"
CANON T03 (51.5K),"48.00 USD 1,910.79 TL",48.00,51500,8,0,16325,"CANON T03: IR525, IR527, IR615, IR617, IR715, IR717, IR795, DX527, DX617, DX717"
CANON T06 (20k),"40.00 USD 1,592.32 TL",40.00,20000,40,2,13160,CANON T06: ImageRunner 1643
CANON T08 (11K),17.50 USD 696.64 TL,17.50,11000,50,0,13144,CANON T08: X1238
CANON T09BK > i-SENSYS X-C1127 Black (7.6K),23.33 USD 928.72 TL,23.33,7600,10,0,14892,CANON T09BK: i-SENSYS X-C1127
CANON T09C > i-SENSYS X-C1127 Cyan (5.9K),23.33 USD 928.72 TL,23.33,5900,7,0,14893,CANON T09C: i-SENSYS X-C1127
CANON T09M > i-SENSYS X-C1127 Magenta (5.9K),23.33 USD 928.72 TL,23.33,5900,7,0,14894,CANON T09M: i-SENSYS X-C1127
CANON T09Y > i-SENSYS X-C1127 Yellow (5.9K),23.33 USD 928.72 TL,23.33,5900,8,0,14895,CANON T09Y: i-SENSYS X-C1127
CANON T12 Black (7.4K),17.50 USD 696.64 TL,17.50,7400,8,0,16694,"CANON T12 BK: i-SENSYS X1300, X1333"
CANON T12 Cyan (5.3K),17.50 USD 696.64 TL,17.50,5300,10,0,16695,"CANON T12 C: i-SENSYS X1300, X1333"
CANON T12 Magenta (5.3K),17.50 USD 696.64 TL,17.50,5300,10,0,16696,"CANON T12 M: i-SENSYS X1300, X1333"
CANON T12 Yellow (5.3K),17.50 USD 696.64 TL,17.50,5300,10,0,16697,"CANON T12 Y: i-SENSYS X1300, X1333"
CANON T13 (10.6K),"42.67 USD 1,698.61 TL",42.67,10600,4,0,16755,CANON T13: i-SENSYS X1440
CANON T13 Chipsiz (10.6K),7.78 USD 309.71 TL,7.78,10600,10,0,16439,CANON T13: i-SENSYS X1440
"BROTHER DR-1040 (1000,1020) Drum Unit (10K)",3.93 USD 156.45 TL,3.93,10000,100,10,15027,"BROTHER DR1040: HL1110, HL1111, HL1112, HL1210, HL1211, HL1212, DCP1510, DCP1511, DCP1512, DCP1610, DCP1612, MFC1810, MFC1811, MFC1815, MFC1910, MFC1911"
BROTHER DR-2025 Drum Unit (12K),6.30 USD 250.79 TL,6.30,12000,50,2,11324,"BROTHER DR2025: DCP7010, DCP7020, DCP7025, DCP7420, FAX2820, FAX2825, FAX2910, FAX2920, HL2030, HL2040, HL2070, MFC7220, MFC7225, MFC7420, MFC7820"
BROTHER DR-2125 Drum Unit (12K),5.46 USD 217.35 TL,5.46,12000,20,2,11334,"BROTHER DR2125: HL2120, HL2140, HL2150, HL2170, DCP7030, DCP7040, DCP7045, MFC7320, MFC7340, MFC7345, MFC7440, MFC7450, MFC7480, MFC7840"
BROTHER DR-2255 Drum Unit (12K),4.78 USD 190.28 TL,4.78,12000,100,1,11420,"BROTHER DR2255: HL2130, HL2220, HL2230, HL2240, HL2242, HL2250, HL2270, HL2275, HL2280, HL2800, DCP7055, DCP7060, DCP7065, DCP7070, FAX2840, FAX2845, FAX2940, FAX2950, MFC2360, MFC7240, MFC7360, MFC7365, MFC7460, MFC7470, MFC7860"
"BROTHER DR-2305 (630,2320) Drum Unit (12K)",4.84 USD 192.67 TL,4.84,12000,50,4,11606,"BROTHER DR2305: HLL2300, HLL2305, HLL2320, HLL2340, HLL2360, HLL2365, HLL2380, DCPL2500, DCPL2520, DCPL2540, DCPL2560, MFCL2685, MFCL2700, MFCL2703, MFCL2705, MFCL2705, MFCL2720, MFCL2740"
BROTHER DR-2406 Drum Unit (12K),5.11 USD 203.42 TL,5.11,12000,100,8,15137,"BROTHER DR2406: HLL2316, HLL2350, HLL2351, HLL2370, HLL2375, HLL2376, HLL2385, HLL2386, DCP-L2351, DCP-L2535, DCP-L2550, DCP-L2395, MFC-L2710, MFC-L2713, MFC-L2715, MFC-L2716, MFC-L2750, MFC-L2751, MFC-L2770, MFC-L2771"
BROTHER DR-2550 Drum Unit (12K),8.53 USD 339.56 TL,8.53,12000,0,0,17345,"BROTHER DR2550: HLL2461, MFCL2806, MFCL2861, MFCL2886"
BROTHER DR-261 (265 ) Yellow Drum Unit (15K),11.38 USD 453.02 TL,11.38,15000,3,0,17095,"BROTHER DR261Y: HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
